tissue	target_index	track_name	strand	assay_title	output_type	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	gtex_tissue	nonzero_mean	matched_patterns
Colon	1487	UBERON:0001159 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	encode		0.09938795119524002	\bcolon\b;\bcolon\b
Colon	1214	UBERON:0001157 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001157	transverse colon	tissue	adult	encode		0.09727869927883148	\bcolon\b;\bcolon\b
Colon	1485	UBERON:0001157 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001157	transverse colon	tissue	adult	encode		0.09727869927883148	\bcolon\b;\bcolon\b
Lymphoid	1585	EFO:0000572 gtex Cells_EBV-transformed_lymphocytes polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	EFO:0000572	lymphoblast	tissue	adult	gtex	Cells_EBV-transformed_lymphocytes	0.06413153558969498	\blymphoblast\b
Lymphoid	1643	UBERON:0002106 gtex Spleen polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	gtex	Spleen	0.05477229878306389	\bspleen\b;\bspleen\b
Lymphoid	1679	UBERON:0013756 gtex Whole_Blood polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0013756	venous blood	tissue	adult	gtex	Whole_Blood	0.05588344484567642	\bblood\b
Lymphoid	1249	UBERON:0002106 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.12643910944461823	\bspleen\b;\bspleen\b
Lymphoid	1520	UBERON:0002106 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.12643910944461823	\bspleen\b;\bspleen\b
Lymphoid	1644	UBERON:0002106 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	embryonic	encode		0.39663490653038025	\bspleen\b;\bspleen\b
Lymphoid	1266	UBERON:0002370 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.13122648000717163	\bthymus\b
Lymphoid	1537	UBERON:0002370 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.13122648000717163	\bthymus\b
Lymphoid	1657	UBERON:0002370 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.17336340248584747	\bthymus\b
Lymphoid	1250	UBERON:0002106 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.08943069726228714	\bspleen\b;\bspleen\b
Lymphoid	1521	UBERON:0002106 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.08943069726228714	\bspleen\b;\bspleen\b
Esophagus	1664	UBERON:0004648 gtex Esophagus_Muscularis polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0004648	esophagus muscularis mucosa	tissue	adult	gtex	Esophagus_Muscularis	0.05034983530640602	\besophagus\b;\besophagus\b
Esophagus	1670	UBERON:0006920 gtex Esophagus_Mucosa polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0006920	esophagus squamous epithelium	tissue	adult	gtex	Esophagus_Mucosa	0.05086713656783104	\besophagus\b;\besophagus\b
Esophagus	1208	UBERON:0001043 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001043	esophagus	tissue	adult	encode		0.09775491803884506	\besophagus\b;\besophagus\b
Esophagus	1479	UBERON:0001043 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001043	esophagus	tissue	adult	encode		0.09775491803884506	\besophagus\b;\besophagus\b
Esophagus	1267	UBERON:0002469 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002469	esophagus mucosa	tissue	adult	encode		0.2322499006986618	\besophagus\b;\besophagus\b
Esophagus	1538	UBERON:0002469 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002469	esophagus mucosa	tissue	adult	encode		0.2322499006986618	\besophagus\b;\besophagus\b
Esophagus	1271	UBERON:0004648 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0004648	esophagus muscularis mucosa	tissue	adult	encode		0.1068030372262001	\besophagus\b;\besophagus\b
Esophagus	1542	UBERON:0004648 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0004648	esophagus muscularis mucosa	tissue	adult	encode		0.1068030372262001	\besophagus\b;\besophagus\b
Esophagus	1275	UBERON:0006920 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0006920	esophagus squamous epithelium	tissue	adult	encode		0.09920122474431992	\besophagus\b;\besophagus\b
Esophagus	1546	UBERON:0006920 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0006920	esophagus squamous epithelium	tissue	adult	encode		0.09920122474431992	\besophagus\b;\besophagus\b
CNS	1636	UBERON:0001876 gtex Brain_Amygdala polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001876	amygdala	tissue	adult	gtex	Brain_Amygdala	0.05657550320029259	\bamygdala\b
CNS	1640	UBERON:0002037 gtex Brain_Cerebellum polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002037	cerebellum	tissue	adult	gtex	Brain_Cerebellum	0.05265718325972557	\bcerebellum\b;\bcerebellum\b
CNS	1633	UBERON:0001870 gtex Brain_Cortex polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001870	frontal cortex	tissue	adult	gtex	Brain_Cortex	0.043324146419763565	\bfrontal cortex\b
CNS	1638	UBERON:0001898 gtex Brain_Hypothalamus polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001898	hypothalamus	tissue	adult	gtex	Brain_Hypothalamus	0.05152333900332451	\bhypothalamus\b
CNS	1635	UBERON:0001874 gtex Brain_Putamen_basal_ganglia polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001874	putamen	tissue	adult	gtex	Brain_Putamen_basal_ganglia	0.05428667739033699	\bputamen\b
CNS	1202	UBERON:0000955 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000955	brain	tissue	adult	encode		0.6184623837471008	\bbrain\b;\bbrain\b
CNS	1473	UBERON:0000955 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000955	brain	tissue	adult	encode		0.6184623837471008	\bbrain\b;\bbrain\b
CNS	1235	UBERON:0002037 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002037	cerebellum	tissue	embryonic	encode		0.09561976045370102	\bcerebellum\b;\bcerebellum\b
CNS	1506	UBERON:0002037 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002037	cerebellum	tissue	embryonic	encode		0.09561976045370102	\bcerebellum\b;\bcerebellum\b
CNS	1236	UBERON:0002037 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002037	cerebellum	tissue	embryonic	encode		0.04635050147771835	\bcerebellum\b;\bcerebellum\b
CNS	1507	UBERON:0002037 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002037	cerebellum	tissue	embryonic	encode		0.04635050147771835	\bcerebellum\b;\bcerebellum\b
CNS	1231	UBERON:0001894 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001894	diencephalon	tissue	embryonic	encode		0.07281812280416489	\bdiencephalon\b
CNS	1502	UBERON:0001894 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001894	diencephalon	tissue	embryonic	encode		0.07281812280416489	\bdiencephalon\b
CNS	1228	UBERON:0001870 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001870	frontal cortex	tissue	embryonic	encode		0.08561448007822037	\bfrontal cortex\b
CNS	1499	UBERON:0001870 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001870	frontal cortex	tissue	embryonic	encode		0.08561448007822037	\bfrontal cortex\b
Head	1227	UBERON:0001723 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001723	tongue	tissue	embryonic	encode		0.13978645205497742	\btongue\b;\btongue\b
Head	1498	UBERON:0001723 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001723	tongue	tissue	embryonic	encode		0.13978645205497742	\btongue\b;\btongue\b
Kidney	1624	UBERON:0001225 gtex Kidney_Cortex polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001225	cortex of kidney	tissue	adult	gtex	Kidney_Cortex	0.06602127104997635	\bkidney\b;\bkidney\b
Kidney	1626	UBERON:0001293 gtex Kidney_Medulla polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001293	outer medulla of kidney	tissue	adult	gtex	Kidney_Medulla	0.18485306203365326	\bkidney\b;\bkidney\b
Kidney	1254	UBERON:0002113 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002113	kidney	tissue	adult	encode		0.5964622497558594	\bkidney\b;\bkidney\b
Kidney	1525	UBERON:0002113 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002113	kidney	tissue	adult	encode		0.5964622497558594	\bkidney\b;\bkidney\b
Kidney	1647	UBERON:0002113 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002113	kidney	tissue	embryonic	encode		0.22629043459892273	\bkidney\b;\bkidney\b
Kidney	1662	UBERON:0004538 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0004538	left kidney	tissue	embryonic	encode		0.3590563237667084	\bkidney\b;\bkidney\b
Kidney	1682	UBERON:0018117 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0018117	left renal cortex interstitium	tissue	embryonic	encode		0.21519021689891815	\brenal\b
Kidney	1680	UBERON:0018115 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0018115	left renal pelvis	tissue	embryonic	encode		0.2682223618030548	\brenal\b
Kidney	1665	UBERON:0005270 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0005270	renal cortex interstitium	tissue	embryonic	encode		0.273677796125412	\brenal\b
Kidney	1623	UBERON:0001224 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001224	renal pelvis	tissue	embryonic	encode		0.26900357007980347	\brenal\b
Kidney	1683	UBERON:0018118 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0018118	right renal cortex interstitium	tissue	embryonic	encode		0.3656761348247528	\brenal\b
Kidney	1681	UBERON:0018116 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0018116	right renal pelvis	tissue	embryonic	encode		0.25852155685424805	\brenal\b
Kidney	1255	UBERON:0002113 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002113	kidney	tissue	adult	encode		0.13756509125232697	\bkidney\b;\bkidney\b
Kidney	1526	UBERON:0002113 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002113	kidney	tissue	adult	encode		0.13756509125232697	\bkidney\b;\bkidney\b
Kidney	1190	UBERON:0000081 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000081	metanephros	tissue	embryonic	encode		0.06954433768987656	\bmetanephros\b
Kidney	1461	UBERON:0000081 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000081	metanephros	tissue	embryonic	encode		0.06954433768987656	\bmetanephros\b
Kidney	1189	UBERON:0000056 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000056	ureter	tissue	adult	encode		0.1433965563774109	\bureter\b
Kidney	1460	UBERON:0000056 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000056	ureter	tissue	adult	encode		0.1433965563774109	\bureter\b
Myeloid	1679	UBERON:0013756 gtex Whole_Blood polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0013756	venous blood	tissue	adult	gtex	Whole_Blood	0.05588344484567642	\bblood\b;\bblood\b
Liver	1618	UBERON:0001114 gtex Liver polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001114	right lobe of liver	tissue	adult	gtex	Liver	0.06319103389978409	\bliver\b;\bliver\b
Liver	1251	UBERON:0002107 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002107	liver	tissue	child	encode		0.37201911211013794	\bliver\b;\bliver\b
Liver	1522	UBERON:0002107 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002107	liver	tissue	child	encode		0.37201911211013794	\bliver\b;\bliver\b
Liver	1645	UBERON:0002107 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002107	liver	tissue	child,adult	encode		0.23851369321346283	\bliver\b;\bliver\b
Liver	1211	UBERON:0001115 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001115	left lobe of liver	tissue	adult	encode		0.2238539606332779	\bliver\b;\bliver\b
Liver	1482	UBERON:0001115 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001115	left lobe of liver	tissue	adult	encode		0.2238539606332779	\bliver\b;\bliver\b
Liver	1252	UBERON:0002107 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002107	liver	tissue	embryonic	encode		0.1001405194401741	\bliver\b;\bliver\b
Liver	1523	UBERON:0002107 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002107	liver	tissue	embryonic	encode		0.1001405194401741	\bliver\b;\bliver\b
Liver	1210	UBERON:0001114 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001114	right lobe of liver	tissue	adult	encode		0.1526584029197693	\bliver\b;\bliver\b
Liver	1481	UBERON:0001114 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001114	right lobe of liver	tissue	adult	encode		0.1526584029197693	\bliver\b;\bliver\b
Lung	1673	UBERON:0008952 gtex Lung polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0008952	upper lobe of left lung	tissue	adult	gtex	Lung	0.04629707708954811	\blung\b;\blung\b
Lung	1649	UBERON:0002168 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002168	left lung	tissue	embryonic	encode		0.17341721057891846	\blung\b;\blung\b
Lung	1238	UBERON:0002048 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002048	lung	tissue	adult	encode		0.11917171627283096	\blung\b;\blung\b
Lung	1509	UBERON:0002048 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002048	lung	tissue	adult	encode		0.11917171627283096	\blung\b;\blung\b
Lung	1648	UBERON:0002167 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002167	right lung	tissue	embryonic	encode		0.1865345537662506	\blung\b;\blung\b
Lung	1256	UBERON:0002168 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002168	left lung	tissue	adult	encode		0.15085317194461823	\blung\b;\blung\b
Lung	1527	UBERON:0002168 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002168	left lung	tissue	adult	encode		0.15085317194461823	\blung\b;\blung\b
Lung	1281	UBERON:0008953 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008953	lower lobe of left lung	tissue	adult	encode		0.10869968682527542	\blung\b;\blung\b
Lung	1552	UBERON:0008953 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008953	lower lobe of left lung	tissue	adult	encode		0.10869968682527542	\blung\b;\blung\b
Lung	1258	UBERON:0002171 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002171	lower lobe of right lung	tissue	adult	encode		0.16713519394397736	\blung\b;\blung\b
Lung	1529	UBERON:0002171 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002171	lower lobe of right lung	tissue	adult	encode		0.16713519394397736	\blung\b;\blung\b
Lung	1239	UBERON:0002048 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002048	lung	tissue	embryonic	encode		0.08134463429450989	\blung\b;\blung\b
