tissue	target_index	track_name	strand	assay_title	output_type	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	gtex_tissue	nonzero_mean	matched_patterns
Pancreas	1213	UBERON:0001150 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001150	body of pancreas	tissue	adult	encode		0.14467252790927887	\bpancreas\b;\bpancreas\b
Pancreas	1484	UBERON:0001150 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001150	body of pancreas	tissue	adult	encode		0.14467252790927887	\bpancreas\b;\bpancreas\b
Pancreas	1221	UBERON:0001264 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001264	pancreas	tissue	adult	encode		0.10486374795436859	\bpancreas\b;\bpancreas\b
Pancreas	1492	UBERON:0001264 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001264	pancreas	tissue	adult	encode		0.10486374795436859	\bpancreas\b;\bpancreas\b
Prostate	1654	UBERON:0002367 gtex Prostate polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002367	prostate gland	tissue	adult	gtex	Prostate	0.05147687718272209	\bprostate\b
Prostate	1263	UBERON:0002367 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002367	prostate gland	tissue	adult	encode		0.13585683703422546	\bprostate\b
Prostate	1534	UBERON:0002367 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002367	prostate gland	tissue	adult	encode		0.13585683703422546	\bprostate\b
Sarcoma	1677	UBERON:0011907 gtex Muscle_Skeletal polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0011907	gastrocnemius medialis	tissue	adult	gtex	Muscle_Skeletal	0.046867091208696365	\bgastrocnemius medialis\b
Sarcoma	1630	UBERON:0001499 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001499	muscle of arm	tissue	embryonic	encode		0.31494125723838806	\bmuscle of arm\b
Sarcoma	1653	UBERON:0002324 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002324	muscle of back	tissue	embryonic	encode		0.2242487370967865	\bmuscle of back\b
Sarcoma	1224	UBERON:0001383 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001383	muscle of leg	tissue	embryonic	encode		0.09429461508989334	\bmuscle of leg\b
Sarcoma	1495	UBERON:0001383 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001383	muscle of leg	tissue	embryonic	encode		0.09429461508989334	\bmuscle of leg\b
Sarcoma	1628	UBERON:0001383 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001383	muscle of leg	tissue	embryonic	encode		0.21778036653995514	\bmuscle of leg\b
Sarcoma	1632	UBERON:0001774 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001774	muscle of trunk	tissue	embryonic	encode		0.08671995252370834	\bmuscle of trunk\b
Sarcoma	1278	UBERON:0008450 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0008450	psoas muscle	tissue	adult	encode		0.14193594455718994	\bpsoas muscle\b
Sarcoma	1549	UBERON:0008450 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0008450	psoas muscle	tissue	adult	encode		0.14193594455718994	\bpsoas muscle\b
Sarcoma	1285	UBERON:0011907 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0011907	gastrocnemius medialis	tissue	adult	encode		0.14263799786567688	\bgastrocnemius medialis\b
Sarcoma	1556	UBERON:0011907 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0011907	gastrocnemius medialis	tissue	adult	encode		0.14263799786567688	\bgastrocnemius medialis\b
Sarcoma	1279	UBERON:0008450 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008450	psoas muscle	tissue	adult	encode		0.19859784841537476	\bpsoas muscle\b
Sarcoma	1550	UBERON:0008450 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008450	psoas muscle	tissue	adult	encode		0.19859784841537476	\bpsoas muscle\b
Sarcoma	1212	UBERON:0001134 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001134	skeletal muscle tissue	tissue	embryonic	encode		0.10401706397533417	\bskeletal muscle tissue\b
Sarcoma	1483	UBERON:0001134 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001134	skeletal muscle tissue	tissue	embryonic	encode		0.10401706397533417	\bskeletal muscle tissue\b
Skin	1661	UBERON:0004264 gtex Skin_Sun_Exposed_Lower_leg polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0004264	lower leg skin	tissue	adult	gtex	Skin_Sun_Exposed_Lower_leg	0.044400908052921295	\bskin\b
Skin	1684	UBERON:0036149 gtex Skin_Not_Sun_Exposed_Suprapubic polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0036149	suprapubic skin	tissue	adult	gtex	Skin_Not_Sun_Exposed_Suprapubic	0.04540431126952171	\bskin\b
Skin	1288	UBERON:1000010 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:1000010	mole	tissue	unknown	encode		0.14376847445964813	\bmole\b
Skin	1559	UBERON:1000010 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:1000010	mole	tissue	unknown	encode		0.14376847445964813	\bmole\b
Skin	1269	UBERON:0004264 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0004264	lower leg skin	tissue	adult	encode		0.12619370222091675	\bskin\b
Skin	1540	UBERON:0004264 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0004264	lower leg skin	tissue	adult	encode		0.12619370222091675	\bskin\b
Skin	1247	UBERON:0002097 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002097	skin of body	tissue	embryonic	encode		0.07668855786323547	\bskin\b
Skin	1518	UBERON:0002097 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002097	skin of body	tissue	embryonic	encode		0.07668855786323547	\bskin\b
Skin	1287	UBERON:0036149 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0036149	suprapubic skin	tissue	adult	encode		0.10089779645204544	\bskin\b
Skin	1558	UBERON:0036149 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0036149	suprapubic skin	tissue	adult	encode		0.10089779645204544	\bskin\b
Stomach	1611	UBERON:0000945 gtex Stomach polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000945	stomach	tissue	adult	gtex	Stomach	0.051221586763858795	\bstomach\b;\bstomach\b
Stomach	1196	UBERON:0000945 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000945	stomach	tissue	adult	encode		0.4686560034751892	\bstomach\b;\bstomach\b
Stomach	1467	UBERON:0000945 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000945	stomach	tissue	adult	encode		0.4686560034751892	\bstomach\b;\bstomach\b
Stomach	1612	UBERON:0000945 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000945	stomach	tissue	embryonic	encode		0.08617443591356277	\bstomach\b;\bstomach\b
Stomach	1197	UBERON:0000945 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000945	stomach	tissue	adult	encode		0.21596461534500122	\bstomach\b;\bstomach\b
Stomach	1468	UBERON:0000945 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000945	stomach	tissue	adult	encode		0.21596461534500122	\bstomach\b;\bstomach\b
Testis	1609	UBERON:0000473 gtex Testis polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000473	testis	tissue	adult	gtex	Testis	0.03635135665535927	\btestis\b;\btestis\b
Testis	1194	UBERON:0000473 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000473	testis	tissue	adult	encode		0.1770746260881424	\btestis\b;\btestis\b
Testis	1465	UBERON:0000473 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000473	testis	tissue	adult	encode		0.1770746260881424	\btestis\b;\btestis\b
Testis	1610	UBERON:0000473 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000473	testis	tissue	embryonic	encode		0.7033047676086426	\btestis\b;\btestis\b
Testis	1195	UBERON:0000473 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000473	testis	tissue	adult	encode		0.05251283198595047	\btestis\b;\btestis\b
Testis	1466	UBERON:0000473 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000473	testis	tissue	adult	encode		0.05251283198595047	\btestis\b;\btestis\b
Thyroid	1642	UBERON:0002046 gtex Thyroid polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002046	thyroid gland	tissue	adult	gtex	Thyroid	0.04541570320725441	\bthyroid\b
Thyroid	1237	UBERON:0002046 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002046	thyroid gland	tissue	adult	encode		0.07622677832841873	\bthyroid\b
Thyroid	1508	UBERON:0002046 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002046	thyroid gland	tissue	adult	encode		0.07622677832841873	\bthyroid\b
Thymus	1266	UBERON:0002370 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.13122648000717163	\bthymus\b;\bthymus\b
Thymus	1537	UBERON:0002370 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.13122648000717163	\bthymus\b;\bthymus\b
Thymus	1657	UBERON:0002370 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.17336340248584747	\bthymus\b;\bthymus\b
Uterus	1616	UBERON:0000995 gtex Uterus polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000995	uterus	tissue	adult	gtex	Uterus	0.059197694063186646	\buterus\b;\buterus\b
Uterus	1617	UBERON:0000996 gtex Vagina polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000996	vagina	tissue	adult	gtex	Vagina	0.05682068690657616	\bvagina\b
Uterus	1205	UBERON:0000995 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000995	uterus	tissue	adult	encode		0.36165136098861694	\buterus\b;\buterus\b
Uterus	1476	UBERON:0000995 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000995	uterus	tissue	adult	encode		0.36165136098861694	\buterus\b;\buterus\b
Uterus	1206	UBERON:0000996 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000996	vagina	tissue	adult	encode		0.23906712234020233	\bvagina\b
Uterus	1477	UBERON:0000996 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000996	vagina	tissue	adult	encode		0.23906712234020233	\bvagina\b
Eye	1188	UBERON:0000019 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000019	camera-type eye	tissue	embryonic	encode		0.0823257565498352	\beye\b;\beye\b
Eye	1459	UBERON:0000019 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000019	camera-type eye	tissue	embryonic	encode		0.0823257565498352	\beye\b;\beye\b
