cancer_type	tissue	cancer_cell_lines	keyword
LUSC	Lung	A549,Calu3,NCI-H226,NCI-H460,PC-9	lung,left lung,right lung,lower lobe of left lung,upper lobe of left lung,lower lobe of right lung,upper lobe of right lung,epithelial cell of alveolus of lung,lung microvascular endothelial cell,bronchial epithelial cell,bronchial smooth muscle cell,airway epithelial cell,bronchus fibroblast of lung,lung fibroblast,pneumocyte,trachea,tracheal epithelial cell,respiratory epithelial cell,respiratory system smooth muscle
MESO	Mesothelium		mesothelial cell of epicardium,mesothelial cell
OV	Ovary		ovary,fallopian tube,left ovary,right ovary,female gonad
PAAD	Pancreas	Panc1	pancreas,body of pancreas,endocrine pancreas,progenitor cell of endocrine pancreas,type B pancreatic cell,stromal cell of pancreas,islet precursor cell
PCPG	Adrenal Gland		adrenal gland
PRAD	Prostate	PC-3,22Rv1,DU 145,LNCaP clone FGC,VCaP,RWPE2	prostate gland,epithelial cell of prostate,smooth muscle cell of prostate,prostate stromal cell,seminal vesicle,RWPE1
READ	Colon	HCT116,HT-29,Caco-2,SW480,RKO,LoVo	sigmoid colon,transverse colon,large intestine,rectum,mucosa of rectum,rectal smooth muscle tissue
SARC	Sarcoma	SJCRH30,SJSA1,MG63,A673	skeletal muscle tissue,skeletal muscle myoblast,skeletal muscle satellite cell,cell of skeletal muscle,skeletal muscle cell,myocyte,myotube,psoas muscle,gastrocnemius medialis,soleus muscle,muscle of arm,muscle of back,muscle of leg,muscle of trunk
SKCM	Skin	SK-MEL-5,RPMI7951,A375	melanocyte of skin,skin of body,suprapubic skin,lower leg skin,foreskin melanocyte,mole,skin epidermis,keratinocyte,foreskin keratinocyte,dark melanocyte,light melanocyte,epidermal melanocyte,outer root sheath cell,hair follicle dermal papilla cell,hair follicular keratinocyte,skin fibroblast,fibroblast of skin of abdomen,fibroblast of skin of back,fibroblast of skin of scalp,zone of skin,skin of palm of manus,stem cell of epidermis,Langerhans cell,immature CD1a-positive Langerhans cell
STAD	Stomach		stomach,mucosa of stomach,stomach smooth muscle
TGCT	Testis		testis,Sertoli cell,epididymis
THCA	Thyroid		thyroid gland
THYM	Thymus		thymus
UCEC	Uterus	Ishikawa	uterus,uterine smooth muscle cell,myometrial cell,uterine cervix,embryonic uterus,vagina
UCS	Uterus	Ishikawa	uterus,uterine smooth muscle cell,myometrial cell,embryonic uterus
UVM	Eye	WERI-Rb-1	eye,camera-type eye,retina,retinal pigment epithelial cell,iris pigment epithelial cell,non-pigmented ciliary epithelial cell,trabecular meshwork cell,corneal epithelial cell,keratocyte,lens epithelial cell,inferior rectus extraocular muscle,medial rectus extraocular muscle,superior rectus extraocular muscle,lateral rectus extra-ocular muscle,HCEC 1CT,vitreous humor
