id	filename	md5	size	state
0ba471b3-39dc-414f-9535-d5249bc2c462	5d99eb47-9acf-4d75-a730-2f7c6c1368c9.rna_seq.genomic.gdc_realn.bam	bcf1f1684ce8a4c7d94a93c3514121d1	8548068252	released
69293ffa-51e9-48e2-8dd8-d6b3a652f0aa	9270df3e-1219-4a78-ba6e-a12406201682.rna_seq.genomic.gdc_realn.bam	a5c1f8c960e3aa31c95463d5fe2f2619	5711152817	released
ae5a7d93-5c30-45f8-ae1d-a8451bcc8b44	27ad1d7f-df4f-4b47-b8f8-ddf10d44076a.rna_seq.genomic.gdc_realn.bam	ee28e58236ef21834d2278c2cd018ec8	8273591431	released
5f0adc2f-53f6-4b9d-a97b-96e80fea56e1	4bba5ba8-e210-4ef3-9377-c692f9484df8.rna_seq.genomic.gdc_realn.bam	eb97bd463709808e6fc451a5846d541e	8570010357	released
c552b2df-658c-4e75-b17e-c948dac792ec	8cd48709-0a65-4737-b859-b2367336249b.rna_seq.genomic.gdc_realn.bam	349cbd4d5c041c77299824382fb573b9	8568731038	released
af03566f-d70e-4086-9d1a-2cc6855b594b	71c804fc-13a8-444a-9332-cbdb2b7dcf86.rna_seq.genomic.gdc_realn.bam	2d16a8ecde43ebe3a1705b025868596e	7101464478	released
1e57f15f-7f50-4f9e-ad92-5ea83c8c7d3d	b0df9ffd-4a37-4a38-90b6-a18314606ebb.rna_seq.genomic.gdc_realn.bam	eefa1bcae825634223da3a0b8c538967	4290886781	released
6109e14d-fda7-46ee-aee4-9613696db111	5786bca2-90a7-42c5-b846-58dcab939883.rna_seq.genomic.gdc_realn.bam	d89299562004175fc05fb5d6621e274c	5984720473	released
2a1b99bd-6e9a-428b-8bd4-2312e39bff7c	cc3ccb82-a9fd-4ad9-ba71-3857d6104871.rna_seq.genomic.gdc_realn.bam	e5e4d27142add7570d7525a0f9ce7d2d	8348872792	released
4f6a0ae6-cae3-40db-b386-ce4754a2eb93	07a5352f-f6ae-42a6-a41c-812c8aa372c9.rna_seq.genomic.gdc_realn.bam	75e679de6fc538a7d1070b965bf40c1f	8564637962	released
2fa0adc7-1f85-4ad9-ba08-b2f6ab4e3c61	32ca71fa-3a7f-4e57-a634-cc5b3d16af61.rna_seq.genomic.gdc_realn.bam	57bc7889285cdf38006a6c5482aa67d7	3673744883	released
d6eb912a-2af3-426d-9a35-6c4c75a3f745	27589f0a-0e71-41f0-aa28-55468db11cde.rna_seq.genomic.gdc_realn.bam	d63bbec6f7e1fba60bb41930539cfc81	9021708881	released
df439568-31b2-49b3-bba8-43496a6e66ab	7579fa99-00d1-4eae-ba00-dc075b7e914d.rna_seq.genomic.gdc_realn.bam	14e3023e95c56569f21686520a645839	8596121650	released
0fe870e1-4568-475c-bde1-999358a43b02	dfcad260-9990-47a1-afd6-7929c22e7e3d.rna_seq.genomic.gdc_realn.bam	eb7eade31284521bdacaa485e4419d90	5246671513	released
2cf858dc-15ed-40e2-b9fd-49825931d0da	61937e37-3d0d-45f8-a39c-5ab0489ca7c1.rna_seq.genomic.gdc_realn.bam	f54c967aef7f63cfb0c61683b808e02c	7424417455	released
8220f6eb-945f-42fa-b551-9dc068b90b87	8146225c-592c-4cca-b3ef-ebcca309a154.rna_seq.genomic.gdc_realn.bam	3e10a5664331b846e9353601db05f7fb	8053451400	released
6ee354eb-48f5-4548-9cac-f8a9d84631e4	3383af4a-8e8c-4c8a-86ee-925b37d7dc5c.rna_seq.genomic.gdc_realn.bam	28d015add426b4e520cb3244eaa84f5a	7069629590	released
1268bee6-303e-4b38-82f2-14e0d54f3c59	1266a7f7-952a-4d0a-bf61-c65deb394009.rna_seq.genomic.gdc_realn.bam	e65de4809a304247f7825885341ceb9e	6623488792	released
0d74323d-2206-4480-aaec-cdfaf92a7e32	e47989a4-a2f7-46b7-9244-c91e0ae0ee0f.rna_seq.genomic.gdc_realn.bam	9efdaad6ae7eed518fd74aaf6d6fc859	8866498981	released
33aa63e1-7830-4702-a698-ff2e2a3558ac	82215367-5f02-47bc-b9d1-8a0e94e17a4f.rna_seq.genomic.gdc_realn.bam	ddef5e31fdc6198a10615d4a95ae8305	6985148544	released
5e0d7620-b810-44d4-ab5a-bc113e1978cb	9a163421-8e6e-44e4-92cc-31d058bfc733.rna_seq.genomic.gdc_realn.bam	4ef0d13db8fe6ae939b7d200a65e074a	6491871653	released
82d54768-a5d9-47a3-b6d1-766633e8d8e4	335bca95-d359-470f-a211-68210d9e2ba7.rna_seq.genomic.gdc_realn.bam	e29096a9f8c7aa933f34d9c741425d7b	7527004627	released
f8cb5321-a9df-499b-9786-27962a8cef9a	d1cc642c-aa42-4704-ac4f-dc652b4f915e.rna_seq.genomic.gdc_realn.bam	ff27010adfc1107a900f256e85168664	6544356915	released
1d403b54-39f8-4ce3-8634-253eb99816ae	97a4506b-81bd-4c81-9f62-f9502b8e8f3e.rna_seq.genomic.gdc_realn.bam	502078797e0e8cb4f52f5a935f462c03	6605420775	released
6362a376-77f5-4f5f-b0ae-88e8bf28f7b0	49095b76-c3d5-48b7-b8e1-55d522767a4a.rna_seq.genomic.gdc_realn.bam	f4e8cc329b742fbc72bab2ab6303d4c8	3291500529	released
3f83a0db-6b15-4fea-a098-fb16606cd29a	3dc0f5ff-07aa-4e17-90f5-7434472f0cc4.rna_seq.genomic.gdc_realn.bam	dafe73c46999820136221df1f991b5e6	5338661279	released
